         128073 function calls (127875 primitive calls) in 3.773 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.544    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:1060(recv_into)
      766    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    3.773    3.773 financial.py:10(main)
      935    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1272    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1499(__bool__)
        5    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py:2489(getproxies_environment)
       52    0.000    0.000    0.172    0.003 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:604(_safe_read)
       78    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/html/parser.py:123(set_cdata_mode)
      338    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:754(encode)
      644    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:758(decode)
      136    0.000    0.000    0.544    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:920(read)
       31    0.000    0.000    0.173    0.006 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:703(_handle_chunk)
       31    0.000    0.000    0.184    0.006 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:725(read_chunked)
     23/6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:71(_compile)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connectionpool.py:168(__init__)
  414/412    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
